acceptanceDateTime,accessionNumber,mailing_street1,phone
"2024-11-12 11:39:40",0001085146-24-005526,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000273,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000271,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000269,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000267,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000265,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000263,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000261,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000259,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000257,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000255,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000253,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000251,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000249,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000247,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000245,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000243,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000241,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000239,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000237,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000235,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000233,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000231,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000229,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000227,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000225,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000223,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000221,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000219,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000217,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000215,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000213,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000211,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000209,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000207,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000205,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000203,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000201,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000148,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0001085146-24-003539,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000144,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000139,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0001085146-24-002454,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0001085146-24-001135,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000133,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000131,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000129,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000127,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000125,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000123,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000121,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000119,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000117,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000115,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000113,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000111,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000109,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000107,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000105,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000103,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000101,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000099,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000097,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000095,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000093,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000091,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000089,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000087,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000085,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000083,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000081,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000079,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000077,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000075,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000073,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000071,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000069,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000067,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000065,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000063,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000061,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000059,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000057,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-24-000009,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000158,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0001085146-23-004253,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0001085146-23-003375,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0001085146-23-002225,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000152,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000148,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0001085146-23-001065,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000145,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000143,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000141,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000139,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000137,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000135,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000133,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000131,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000129,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000127,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000125,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000123,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000121,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000119,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000117,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000114,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000112,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000110,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000108,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000106,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000104,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000102,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000100,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000098,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000096,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000094,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000092,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000090,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000088,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000086,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000084,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000082,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000080,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000077,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000075,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000073,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000071,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000069,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000067,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000065,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000063,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000061,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000059,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000057,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000009,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-23-000005,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-22-000153,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0001085146-22-004018,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0001085146-22-003005,"4500 MAIN STREET",816-531-5575
"2024-11-12 11:39:40",0000052388-22-000146,"4500 MAIN STREET",816-531-5575
